,User-ID,Age,Country,ISBN,Book-Rating,Avg_Rating,Total_No_Of_Users_Rated,Book-Title,Book-Author,Year-Of-Publication,Publisher
19,6242,33.0,canada,0452264464,5,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
22,11676,28.0,nan,0452264464,8,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
27,22625,54.0,usa,0452264464,9,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
31,36907,39.0,canada,0452264464,10,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
36,58363,81.0,usa,0452264464,5,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
37,63956,28.0,usa,0452264464,9,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
43,86243,33.5,new zealand,0452264464,9,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
44,92810,60.0,usa,0452264464,7,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
46,95932,36.0,usa,0452264464,10,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
48,100459,38.0,usa,0452264464,7,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
51,102359,36.0,usa,0452264464,10,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
55,105517,28.0,canada,0452264464,1,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
58,119858,53.0,usa,0452264464,10,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
61,129716,30.0,usa,0452264464,10,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
66,148744,67.0,usa,0452264464,9,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
69,159732,47.0,usa,0452264464,7,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
70,165319,28.0,usa,0452264464,5,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
71,171295,27.0,usa,0452264464,8,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
72,174326,38.0,canada,0452264464,9,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
74,178667,34.0,usa,0452264464,5,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
80,224138,36.0,usa,0452264464,9,7.772151898734177,79,Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume
